timestamp,symbol,asset_class,strategy_key,contract_symbol,direction,score,spot_price,entry_price,rsi,macd,volatility_20d,volume_rel_20d,sector_strength,market_trend,congress_score,news_sentiment,decision,label_good_trade,realized_return_5d
2025-12-03 14:03:49.642476+00:00,BAC,option,hybrid_aggressive,BAC260109C00054000,buy,4.5,53.17,107.0,,,0.0122316906366069,,,,,,enter,0.0,-0.49803738317757
2025-12-03 14:08:45.243268+00:00,WBD,option,hybrid_aggressive,WBD260109C00030000,buy,5.5,24.53,16.0,,,0.0213167764106622,,,,,,enter,1.0,0.835
2025-12-03 14:08:46.319457+00:00,AAPL,option,hybrid_aggressive,AAPL260109C00200000,buy,5.0,286.09,7755.0,,,0.0098581835033557,,,,,,enter,0.0,-0.9642230818826564
2025-12-03 14:08:47.418615+00:00,CSCO,option,hybrid_aggressive,CSCO260109C00078000,buy,5.0,76.85,129.0,,,0.0183613618166572,,,,,,enter,0.0,-0.3857751937984496
2025-12-03 14:08:48.469723+00:00,GOOGL,option,hybrid_aggressive,GOOGL260109C00355000,buy,5.0,315.74,239.0,,,0.0245260205340653,,,,,,enter,1.0,0.3309205020920501
2025-12-03 14:08:49.528182+00:00,BAC,option,hybrid_aggressive,BAC260109C00054000,buy,4.5,53.17,107.0,,,0.0122316906366069,,,,,,enter,0.0,-0.49803738317757
2025-12-03 14:13:45.266722+00:00,WBD,option,hybrid_aggressive,WBD260109C00030000,buy,5.5,24.53,16.0,,,0.0213167764106622,,,,,,enter,1.0,0.835
2025-12-03 14:13:46.257397+00:00,AAPL,option,hybrid_aggressive,AAPL260109C00200000,buy,5.0,286.09,7755.0,,,0.0098581835033557,,,,,,enter,0.0,-0.9642230818826564
2025-12-03 14:13:47.532957+00:00,CSCO,option,hybrid_aggressive,CSCO260109C00078000,buy,5.0,76.85,129.0,,,0.0183613618166572,,,,,,enter,0.0,-0.3857751937984496
2025-12-03 14:13:48.518183+00:00,GOOGL,option,hybrid_aggressive,GOOGL260109C00355000,buy,5.0,315.74,239.0,,,0.0245260205340653,,,,,,enter,1.0,0.3309205020920501
2025-12-03 14:13:49.743235+00:00,BAC,option,hybrid_aggressive,BAC260109C00054000,buy,4.5,53.17,107.0,,,0.0122316906366069,,,,,,enter,0.0,-0.49803738317757
2025-12-03 14:18:45.380724+00:00,WBD,option,hybrid_aggressive,WBD260109C00030000,buy,5.5,24.53,16.0,,,0.0213167764106622,,,,,,enter,1.0,0.835
2025-12-03 14:18:46.419262+00:00,AAPL,option,hybrid_aggressive,AAPL260109C00200000,buy,5.0,286.09,7755.0,,,0.0098581835033557,,,,,,enter,0.0,-0.9642230818826564
2025-12-03 14:18:47.688237+00:00,CSCO,option,hybrid_aggressive,CSCO260109C00078000,buy,5.0,76.85,129.0,,,0.0183613618166572,,,,,,enter,0.0,-0.3857751937984496
2025-12-03 14:18:48.792675+00:00,GOOGL,option,hybrid_aggressive,GOOGL260109C00355000,buy,5.0,315.74,239.0,,,0.0245260205340653,,,,,,enter,1.0,0.3309205020920501
2025-12-03 14:18:49.949988+00:00,BAC,option,hybrid_aggressive,BAC260109C00054000,buy,4.5,53.17,107.0,,,0.0122316906366069,,,,,,enter,0.0,-0.49803738317757
2025-12-03 14:23:45.237963+00:00,WBD,option,hybrid_aggressive,WBD260109C00030000,buy,5.5,24.53,16.0,,,0.0213167764106622,,,,,,enter,1.0,0.835
2025-12-03 14:23:46.236876+00:00,AAPL,option,hybrid_aggressive,AAPL260109C00200000,buy,5.0,286.09,7755.0,,,0.0098581835033557,,,,,,enter,0.0,-0.9642230818826564
2025-12-03 14:23:47.496204+00:00,CSCO,option,hybrid_aggressive,CSCO260109C00078000,buy,5.0,76.85,129.0,,,0.0183613618166572,,,,,,enter,0.0,-0.3857751937984496
2025-12-03 14:23:48.501907+00:00,GOOGL,option,hybrid_aggressive,GOOGL260109C00355000,buy,5.0,315.74,239.0,,,0.0245260205340653,,,,,,enter,1.0,0.3309205020920501
2025-12-03 14:23:49.567597+00:00,BAC,option,hybrid_aggressive,BAC260109C00054000,buy,4.5,53.17,107.0,,,0.0122316906366069,,,,,,enter,0.0,-0.49803738317757
2025-12-03 14:28:46.410180+00:00,WBD,option,hybrid_aggressive,WBD260109C00030000,buy,5.5,24.53,16.0,,,0.0213167764106622,,,,,,enter,1.0,0.835
2025-12-03 14:28:48.666791+00:00,AAPL,option,hybrid_aggressive,AAPL260109C00200000,buy,5.0,286.09,7755.0,,,0.0098581835033557,,,,,,enter,0.0,-0.9642230818826564
2025-12-03 14:28:50.784421+00:00,CSCO,option,hybrid_aggressive,CSCO260109C00078000,buy,5.0,76.85,129.0,,,0.0183613618166572,,,,,,enter,0.0,-0.3857751937984496
2025-12-03 14:28:52.858337+00:00,GOOGL,option,hybrid_aggressive,GOOGL260109C00355000,buy,5.0,315.74,239.0,,,0.0245260205340653,,,,,,enter,1.0,0.3309205020920501
2025-12-03 14:28:54.959689+00:00,BAC,option,hybrid_aggressive,BAC260109C00054000,buy,4.5,53.17,107.0,,,0.0122316906366069,,,,,,enter,0.0,-0.49803738317757
2025-12-03 14:33:47.583511+00:00,AAPL,option,hybrid_aggressive,AAPL260109C00200000,buy,5.5,286.09,7755.0,,,0.0098946745052221,,,,,,enter,0.0,-0.9642230818826564
2025-12-03 14:33:49.815516+00:00,CSCO,option,hybrid_aggressive,CSCO260109C00078000,buy,5.5,76.85,129.0,,,0.0170581061499674,,,,,,enter,0.0,-0.3857751937984496
2025-12-03 14:33:50.979127+00:00,WBD,option,hybrid_aggressive,WBD260109C00030000,buy,5.0,24.53,16.0,,,0.0214624085743717,,,,,,enter,1.0,0.835
